Dataset is copied to /tmp
Epoch: [0]  [  190/15000]  eta: 0:53:51  lr: 0.000959  loss: 0.3180 (1.3364)  loss_classifier: 0.1818 (1.0052)  loss_box_reg: 0.1071 (0.0747)  loss_objectness: 0.0310 (0.2226)  loss_rpn_box_reg: 0.0115 (0.0338)  time: 0.1826  data: 0.0059  max mem: 4119
Epoch: [0]  [  200/15000]  eta: 0:53:25  lr: 0.001009  loss: 0.3254 (1.2891)  loss_classifier: 0.1742 (0.9644)  loss_box_reg: 0.0975 (0.0759)  loss_objectness: 0.0371 (0.2152)  loss_rpn_box_reg: 0.0131 (0.0337)  time: 0.1847  data: 0.0054  max mem: 4119
Epoch: [0]  [  210/15000]  eta: 0:53:03  lr: 0.001059  loss: 0.2837 (1.2484)  loss_classifier: 0.1595 (0.9295)  loss_box_reg: 0.0846 (0.0777)  loss_objectness: 0.0333 (0.2079)  loss_rpn_box_reg: 0.0195 (0.0334)  time: 0.1874  data: 0.0051  max mem: 4119
Epoch: [0]  [  220/15000]  eta: 0:52:47  lr: 0.001109  loss: 0.3675 (1.2121)  loss_classifier: 0.1943 (0.8983)  loss_box_reg: 0.1003 (0.0799)  loss_objectness: 0.0380 (0.2009)  loss_rpn_box_reg: 0.0170 (0.0330)  time: 0.1916  data: 0.0051  max mem: 4119
Epoch: [0]  [  230/15000]  eta: 0:52:20  lr: 0.001159  loss: 0.3590 (1.1745)  loss_classifier: 0.1926 (0.8676)  loss_box_reg: 0.1003 (0.0812)  loss_objectness: 0.0359 (0.1936)  loss_rpn_box_reg: 0.0129 (0.0321)  time: 0.1846  data: 0.0051  max mem: 4119
Epoch: [0]  [  240/15000]  eta: 0:52:10  lr: 0.001209  loss: 0.3063 (1.1402)  loss_classifier: 0.1671 (0.8393)  loss_box_reg: 0.0966 (0.0824)  loss_objectness: 0.0263 (0.1869)  loss_rpn_box_reg: 0.0120 (0.0316)  time: 0.1873  data: 0.0051  max mem: 4119
Epoch: [0]  [  250/15000]  eta: 0:51:48  lr: 0.001259  loss: 0.3282 (1.1174)  loss_classifier: 0.1968 (0.8174)  loss_box_reg: 0.1034 (0.0850)  loss_objectness: 0.0300 (0.1834)  loss_rpn_box_reg: 0.0195 (0.0316)  time: 0.1892  data: 0.0051  max mem: 4119
Epoch: [0]  [  260/15000]  eta: 0:51:30  lr: 0.001309  loss: 0.3170 (1.0872)  loss_classifier: 0.1687 (0.7922)  loss_box_reg: 0.1002 (0.0857)  loss_objectness: 0.0417 (0.1779)  loss_rpn_box_reg: 0.0206 (0.0314)  time: 0.1804  data: 0.0052  max mem: 4119
Epoch: [0]  [  270/15000]  eta: 0:51:14  lr: 0.001359  loss: 0.2862 (1.0621)  loss_classifier: 0.1440 (0.7711)  loss_box_reg: 0.0871 (0.0875)  loss_objectness: 0.0317 (0.1726)  loss_rpn_box_reg: 0.0184 (0.0309)  time: 0.1829  data: 0.0052  max mem: 4119
Epoch: [0]  [  280/15000]  eta: 0:51:07  lr: 0.001409  loss: 0.2843 (1.0360)  loss_classifier: 0.1440 (0.7499)  loss_box_reg: 0.0889 (0.0883)  loss_objectness: 0.0263 (0.1674)  loss_rpn_box_reg: 0.0161 (0.0303)  time: 0.1922  data: 0.0051  max mem: 4119
Epoch: [0]  [  290/15000]  eta: 0:50:55  lr: 0.001459  loss: 0.2766 (1.0122)  loss_classifier: 0.1395 (0.7302)  loss_box_reg: 0.0964 (0.0889)  loss_objectness: 0.0262 (0.1628)  loss_rpn_box_reg: 0.0140 (0.0303)  time: 0.1949  data: 0.0053  max mem: 4119
Epoch: [0]  [  300/15000]  eta: 0:50:40  lr: 0.001508  loss: 0.2903 (0.9913)  loss_classifier: 0.1550 (0.7126)  loss_box_reg: 0.0964 (0.0900)  loss_objectness: 0.0302 (0.1586)  loss_rpn_box_reg: 0.0140 (0.0301)  time: 0.1846  data: 0.0055  max mem: 4119
Epoch: [0]  [  310/15000]  eta: 0:50:26  lr: 0.001558  loss: 0.3496 (0.9725)  loss_classifier: 0.1809 (0.6967)  loss_box_reg: 0.0962 (0.0908)  loss_objectness: 0.0302 (0.1551)  loss_rpn_box_reg: 0.0156 (0.0298)  time: 0.1812  data: 0.0053  max mem: 4119
Epoch: [0]  [  320/15000]  eta: 0:50:15  lr: 0.001608  loss: 0.2985 (0.9521)  loss_classifier: 0.1507 (0.6802)  loss_box_reg: 0.0962 (0.0911)  loss_objectness: 0.0284 (0.1513)  loss_rpn_box_reg: 0.0156 (0.0295)  time: 0.1840  data: 0.0050  max mem: 4119
Epoch: [0]  [  330/15000]  eta: 0:50:01  lr: 0.001658  loss: 0.2689 (0.9327)  loss_classifier: 0.1436 (0.6646)  loss_box_reg: 0.0877 (0.0914)  loss_objectness: 0.0284 (0.1475)  loss_rpn_box_reg: 0.0145 (0.0292)  time: 0.1821  data: 0.0050  max mem: 4119
